;code;group;V0_ampl;V0_freq;V1_ampl;V1_freq;V2_ampl;V2_freq;V3_ampl;V3_freq;V4_ampl;V4_freq
19;Subject_20;1;1.1370224090932457;49.142296253289935;1.2147135260529527;51.43448967939286;1.335268150565472;53.936032275648984;0.6962055759819294;62.63337438296512;0.279402553620401;68.63083491275226
20;Subject_21;1;0.34374795115773266;52.46800684749891;0.7660986660820042;53.95429118822212;1.0927759625418076;56.30928890850573;0.5792954565616966;65.05132661032121;0.1515739039921634;73.40285459545734
21;Subject_22;1;2.1981277874240535;56.14967567229129;2.8173958061491886;56.39530132388822;3.3570183036241863;58.7338766513604;2.4343512673123513;66.1167164684295;1.341546956486317;70.09961683654902
22;Subject_23;1;0.13270763560986049;57.74695284037594;0.3587118680717335;56.332777085989186;0.582146860732558;58.62669867506557;0.3380951191955207;66.33849749388087;0.24786285490837193;76.61662272807071
23;Subject_24;1;0.9934096731658602;53.555742979011775;1.0464614062112079;54.808526186833454;1.251617343349132;57.29783401501382;1.2648352763283321;60.07980559068512;0.8821407839505991;62.77712287865631
24;Subject_25;1;0.530735011520951;46.51423798522382;0.6650658854902887;48.74756160809278;0.7030521406995691;51.32698929372695;0.26098712375453054;59.01683914132077;0.1323443493249937;64.25154087707575
25;Subject_26;1;0.6833822758839067;53.93063115145924;0.9537076850429672;55.01055911516453;1.374303773763381;56.28529153277071;0.8989182651769648;60.09717736125221;0.4532411272183127;63.81822894627322
26;Subject_27;2;2.292470292706378;45.0078248024288;2.581905459962948;46.26874778661493;1.9228043671275563;47.591694459243676;0.5721213395715882;60.90681678440046;0.31185116776693395;63.875079573361454
27;Subject_28;2;0.45110301855460916;53.73220682461744;0.6887210960808876;57.37607797823457;0.9223060124253146;57.43063466312359;0.5075333300817199;59.914047428399485;0.2434855179786453;61.33603327616021
28;Subject_29;2;1.5964622779069442;47.649400544325424;1.6189052238522377;49.124127213983456;1.6745935732006485;51.59045279057689;0.7273175933399694;58.77405680081958;0.2467396136747948;63.69961601022674
29;Subject_30;2;0.6677266193676474;46.366914924608075;1.2554189262932105;46.20474313227778;1.5413880468806471;46.22643711186153;0.5089677663489197;54.88428649795463;0.12079737435356401;59.85672239213423
30;Subject_31;2;3.2652001042438616;53.68583303517607;4.698943007610732;54.01162623265747;5.240200887701115;56.23584906974352;2.8358938438009167;63.50870293108009;1.3440769767442138;71.28204059855786
31;Subject_32;2;0.6407965270990625;52.53026667065955;1.1872995348585977;54.061067963170515;1.5534620903155703;56.54704203748026;0.859624356473136;66.54610703804858;0.29681205120933835;73.82733205433436
32;Subject_33;2;0.7689858982403462;55.12694692077531;0.9103863900541491;54.146022988554165;0.965286417124069;56.3746595249974;0.44539309639187435;61.31530781356923;0.15755568571285913;62.66300161855032
33;Subject_34;2;1.4266298349718287;53.81287132856425;2.1241477177802484;53.964690620352734;2.90686654649458;56.40118811086798;3.7044508982140885;66.01437071536486;2.1625596831796363;71.19747979447031
34;Subject_35;2;2.02214574541551;53.87182831135044;3.2624994139782126;58.68830436543473;4.067730117999295;60.07177060600956;3.090829450567739;68.99632328750604;1.2438110434660266;78.84478796021185
35;Subject_36;2;1.0422692588219102;53.99542994444633;1.4666365388998341;55.070241950111374;1.8970139940596953;56.31160077061467;1.3171110249892695;61.38933703570788;0.39998364177851153;65.40733684815707
36;Subject_37;2;1.264766965686756;50.0259222620156;1.771244873450425;52.41845358439021;2.256409777403163;53.929534072695844;1.4604565570128551;63.65351403107279;0.5574707906864195;72.57926349933945
37;Subject_38;2;1.8591687262127696;52.46344705839688;2.00681694860883;52.666965320605414;2.1219692473080407;53.99594194869074;2.5189664314264952;58.97564819463754;1.7300975011296702;63.74241804859665
38;Subject_39;2;1.8989362265516425;50.1181107367049;2.5250810979351956;51.48588657852706;3.001976557394657;55.12873084659624;1.3773804616779524;66.16900457947776;0.640315982310274;73.79228891716906
39;Subject_40;2;2.0376761396905807;48.86685424135004;2.4646749440252442;50.24023399869997;3.149776558672809;51.56373712741239;2.0892428611449967;58.7503828106366;1.7090364380497045;62.80115171674791
40;Subject_41;2;1.092918709289971;56.42714557116567;1.8450797738780291;57.58278268228648;2.5538614545693448;58.86254176407546;1.753161109759082;64.81109540363487;0.5194111008064668;71.19795290119892
41;Subject_42;2;0.3679749833290116;52.40474392501581;0.505216688368069;56.18378504724297;0.6333528711746196;56.30136908353737;0.6893189980412056;63.80553747182328;0.47066860445745573;68.76126596660177
42;Subject_43;2;0.3158686907416826;48.46201500591644;0.5004305230832882;48.916523505330964;0.563376517740664;51.199421634128974;0.5531894128558185;54.83887018850835;0.4567991974716646;59.78752554843483
43;Subject_44;2;0.9853078884900974;54.124459701772864;0.9196283375205301;56.583734606414424;0.8254556137117764;62.56737092872203;0.37452992109174355;72.68105583468272;0.18534933169798223;76.2233695368355
44;Subject_45;2;0.3719441451947677;53.45391922469958;0.7744230291364333;52.57999695670831;1.1852020730615438;53.8693439480941;1.2960232778735288;56.60791754482234;0.8180346334486005;62.53830503872486
45;Subject_46;2;1.2169167158349883;46.232823354643024;2.1457078894032726;43.25642290367063;2.310887614930671;44.68092316260816;0.4950811165380836;52.831307002027;0.17733270122818057;57.087157604954015
46;Subject_47;2;0.6485297118199623;57.77150701687793;1.1164141196408308;61.25583266255622;1.231694189137417;62.65271635494839;0.46138614283370927;72.70467855251856;0.2125419625511484;75.4146658255107
47;Subject_48;2;0.48462086584682984;58.58961737029204;0.6742904725796536;57.46450577091319;0.962751303381601;61.16008532793671;0.754110382002998;70.07418157280958;0.37968114074225023;72.38437250896558
48;Subject_49;2;0.9728416360624823;61.41397509496964;1.5234971443676169;61.516539424007;2.345352853653101;62.678285651307135;1.4923039019397253;68.86520278297073;0.7448426268477755;73.64974908283631
49;Subject_50;2;0.5255055989706614;58.88343489700192;1.4509711094405624;58.96498320417443;2.3571740479347447;62.39698959357692;3.997028208986487;71.04738803079447;1.7762895859127885;77.56221848626114
50;Subject_51;2;1.31955675970003;54.89815203835335;1.8316383183518603;53.95278395554078;2.336479355462935;55.314306193404114;0.9373325363261076;61.24723150951371;0.2623846817511997;62.85485045664558
51;Subject_52;2;0.27751209447729003;56.14702552947989;0.5326437531186006;57.508344150304204;0.9846470681424169;57.59968972385829;0.5223844836505129;62.51266653418574;0.20693593093212947;67.56468899004341
52;Subject_53;2;0.3284890654060186;56.24625758296395;0.8535689484904226;57.49306619902222;1.1165871336434812;58.839417267878034;1.1212717846415265;63.810460847305215;0.607911456684753;68.73845097079588
53;Subject_54;2;0.25163433861154466;53.44366385757143;0.2737046899693876;61.325350123082266;0.38254950377414093;63.77959286988459;0.2616668863720103;66.09318312809907;0.13469897655589286;63.65805912386529
